Enthalpy_L,Enthalpy_V,Entropy_L,Entropy_V,dryness,Enthalpy,Entropy
22.89,2510.9,0.08297,9.0135,0.29,744.4129,2.6728237
22.89,2510.9,0.08297,9.0135,0.3,769.293,2.7621290000000003
22.89,2510.9,0.08297,9.0135,0.31,794.1731000000001,2.8514343
22.89,2510.9,0.08297,9.0135,0.32,819.0532000000001,2.9407396000000006
22.89,2510.9,0.08297,9.0135,0.33,843.9333000000001,3.0300449000000005
22.89,2510.9,0.08297,9.0135,0.34,868.8134000000001,3.1193502000000004
22.89,2510.9,0.08297,9.0135,0.35000000000000003,893.6935000000002,3.2086555000000008
22.89,2510.9,0.08297,9.0135,0.36,918.5736,3.2979608000000002
22.89,2510.9,0.08297,9.0135,0.37,943.4537,3.3872661
22.89,2510.9,0.08297,9.0135,0.38,968.3338000000001,3.4765714000000005
22.89,2510.9,0.08297,9.0135,0.39,993.2139000000001,3.5658767000000005
22.89,2510.9,0.08297,9.0135,0.4,1018.0940000000002,3.6551820000000004
22.89,2510.9,0.08297,9.0135,0.41000000000000003,1042.9741000000001,3.7444873000000007
22.89,2510.9,0.08297,9.0135,0.42,1067.8542000000002,3.8337926
22.89,2510.9,0.08297,9.0135,0.43,1092.7343,3.9230979
22.89,2510.9,0.08297,9.0135,0.44,1117.6144000000002,4.0124032000000005
22.89,2510.9,0.08297,9.0135,0.45,1142.4945000000002,4.101708500000001
22.89,2510.9,0.08297,9.0135,0.46,1167.3746000000003,4.191013800000001
22.89,2510.9,0.08297,9.0135,0.47000000000000003,1192.2547000000002,4.280319100000001
22.89,2510.9,0.08297,9.0135,0.48,1217.1348000000003,4.369624400000001
22.89,2510.9,0.08297,9.0135,0.49,1242.0149000000001,4.4589297000000006
22.89,2510.9,0.08297,9.0135,0.5,1266.8950000000002,4.548235000000001
22.89,2510.9,0.08297,9.0135,0.51,1291.7751000000003,4.637540300000001
22.89,2510.9,0.08297,9.0135,0.52,1316.6552000000001,4.726845600000001
22.89,2510.9,0.08297,9.0135,0.53,1341.5353000000002,4.816150900000001
22.89,2510.9,0.08297,9.0135,0.54,1366.4154000000003,4.9054562000000015
22.89,2510.9,0.08297,9.0135,0.55,1391.2955000000004,4.994761500000001
22.89,2510.9,0.08297,9.0135,0.56,1416.1756000000003,5.084066800000001
22.89,2510.9,0.08297,9.0135,0.5700000000000001,1441.0557000000003,5.173372100000002
22.89,2510.9,0.08297,9.0135,0.58,1465.9358000000002,5.2626774
22.89,2510.9,0.08297,9.0135,0.59,1490.8159,5.351982700000001
